Store no., STARHUB ETOP UP $8 , STARHUB ETOP UP $17 , STARHUB ETOP UP $18 , STARHUB ETOP UP $25 , STARHUB ETOP UP $28 , STARHUB ETOP UP $50 , Total $ ,Total Qty
1, $920.00 , $51.00 , $540.00 , $-   , $280.00 , $-   ," $1,791.00 ",158
2, $688.00 , $85.00 , $450.00 , $-   , $168.00 , $-   ," $1,391.00 ",122
3, $504.00 , $68.00 , $252.00 , $-   , $168.00 , $50.00 ," $1,042.00 ",88
4," $1,672.00 ", $51.00 ," $1,566.00 ", $-   ," $1,204.00 ", $250.00 ," $4,743.00 ",347
5, $272.00 , $-   , $108.00 , $-   , $224.00 , $50.00 , $654.00 ,49
6, $792.00 , $34.00 , $648.00 , $25.00 , $616.00 , $-   ," $2,115.00 ",160
7, $608.00 , $34.00 , $450.00 , $-   , $364.00 , $50.00 ," $1,506.00 ",117
9, $376.00 , $-   , $252.00 , $-   , $224.00 , $-   , $852.00 ,69
11, $360.00 , $-   , $306.00 , $50.00 , $196.00 , $-   , $912.00 ,71
12, $600.00 , $17.00 , $468.00 , $-   , $420.00 , $200.00 ," $1,705.00 ",121
14," $1,680.00 ", $68.00 ," $1,530.00 ", $75.00 , $812.00 , $200.00 ," $4,365.00 ",335
15, $616.00 , $34.00 , $342.00 , $-   , $252.00 , $-   ," $1,244.00 ",107
16, $304.00 , $17.00 , $522.00 , $-   , $84.00 , $-   , $927.00 ,71
17, $560.00 , $102.00 , $486.00 , $-   , $224.00 , $50.00 ," $1,422.00 ",112
21, $960.00 , $85.00 , $612.00 , $-   , $140.00 , $-   ," $1,797.00 ",164
22, $424.00 , $-   , $270.00 , $-   , $196.00 , $-   , $890.00 ,75
23," $1,400.00 ", $51.00 ," $1,548.00 ", $25.00 ," $1,008.00 ", $50.00 ," $4,082.00 ",302
25, $888.00 , $17.00 , $558.00 , $-   , $280.00 , $-   ," $1,743.00 ",153
26, $664.00 , $51.00 , $432.00 , $50.00 , $364.00 , $-   ," $1,561.00 ",125
27," $1,040.00 ", $51.00 ," $1,458.00 ", $25.00 , $728.00 , $600.00 ," $3,902.00 ",253
28, $760.00 , $17.00 , $954.00 , $50.00 , $924.00 , $200.00 ," $2,905.00 ",188
29, $248.00 , $-   , $324.00 , $50.00 , $392.00 , $100.00 ," $1,114.00 ",67
30, $272.00 , $-   , $54.00 , $-   , $28.00 , $-   , $354.00 ,38
31, $352.00 , $17.00 , $180.00 , $-   , $56.00 , $50.00 , $655.00 ,58
32, $48.00 , $-   , $72.00 , $-   , $-   , $-   , $120.00 ,10
33, $264.00 , $-   , $378.00 , $25.00 , $196.00 , $250.00 ," $1,113.00 ",67
34, $776.00 , $34.00 , $720.00 , $-   , $476.00 , $150.00 ," $2,156.00 ",159
36, $392.00 , $17.00 , $360.00 , $25.00 , $196.00 , $-   , $990.00 ,78
37, $656.00 , $17.00 , $306.00 , $-   , $196.00 , $-   ," $1,175.00 ",107
38, $840.00 , $119.00 , $684.00 , $-   , $168.00 , $50.00 ," $1,861.00 ",157
39, $400.00 , $-   , $378.00 , $-   , $196.00 , $-   , $974.00 ,78
40, $520.00 , $68.00 , $324.00 , $25.00 , $308.00 , $50.00 ," $1,295.00 ",100
41, $208.00 , $-   , $342.00 , $-   , $140.00 , $-   , $690.00 ,50
42, $472.00 , $17.00 , $486.00 , $-   , $224.00 , $-   ," $1,199.00 ",95
43," $1,000.00 ", $34.00 , $306.00 , $-   , $140.00 , $-   ," $1,480.00 ",149
49, $720.00 , $-   , $432.00 , $-   , $196.00 , $150.00 ," $1,498.00 ",124
50, $600.00 , $17.00 , $630.00 , $-   , $252.00 , $300.00 ," $1,799.00 ",126
51, $536.00 , $-   , $666.00 , $-   , $280.00 , $200.00 ," $1,682.00 ",118
54, $192.00 , $-   , $162.00 , $25.00 , $56.00 , $-   , $435.00 ,36
57, $200.00 , $68.00 , $126.00 , $-   , $84.00 , $950.00 ," $1,428.00 ",58
59, $264.00 , $-   , $216.00 , $-   , $224.00 , $-   , $704.00 ,53
60, $696.00 , $34.00 , $378.00 , $-   , $448.00 , $50.00 ," $1,606.00 ",127
61, $400.00 , $-   , $306.00 , $-   , $224.00 , $200.00 ," $1,130.00 ",79
62, $920.00 , $17.00 ," $1,008.00 ", $-   , $336.00 , $50.00 ," $2,331.00 ",185
63, $504.00 , $-   , $378.00 , $-   , $168.00 , $-   ," $1,050.00 ",90
65," $1,008.00 ", $34.00 , $828.00 , $50.00 , $224.00 , $50.00 ," $2,194.00 ",185
66, $304.00 , $-   , $234.00 , $-   , $84.00 , $50.00 , $672.00 ,55
68, $200.00 , $-   , $342.00 , $-   , $84.00 , $-   , $626.00 ,47
69, $696.00 , $-   , $450.00 , $25.00 , $364.00 , $-   ," $1,535.00 ",126
70, $464.00 , $-   , $360.00 , $-   , $224.00 , $-   ," $1,048.00 ",86
71, $592.00 , $-   , $684.00 , $-   , $196.00 , $300.00 ," $1,772.00 ",125
72, $232.00 , $-   , $216.00 , $-   , $112.00 , $50.00 , $610.00 ,46
75, $608.00 , $51.00 , $378.00 , $-   , $336.00 , $50.00 ," $1,423.00 ",113
77, $616.00 , $-   , $288.00 , $-   , $336.00 , $-   ," $1,240.00 ",105
80, $88.00 , $-   , $54.00 , $-   , $56.00 , $-   , $198.00 ,16
82, $648.00 , $170.00 , $522.00 , $25.00 , $364.00 , $50.00 ," $1,779.00 ",135
83, $840.00 , $17.00 , $558.00 , $-   , $336.00 , $50.00 ," $1,801.00 ",150
87, $504.00 , $17.00 , $396.00 , $-   , $392.00 , $50.00 ," $1,359.00 ",101
88, $64.00 , $-   , $90.00 , $-   , $-   , $-   , $154.00 ,13
89, $432.00 , $17.00 , $648.00 , $25.00 , $336.00 , $150.00 ," $1,608.00 ",107
92, $88.00 , $-   , $-   , $-   , $-   , $-   , $88.00 ,11
98," $1,320.00 ", $51.00 ," $1,116.00 ", $25.00 , $252.00 , $350.00 ," $3,114.00 ",247
99, $480.00 , $17.00 , $288.00 , $-   , $448.00 , $-   ," $1,233.00 ",93
104, $648.00 , $85.00 , $288.00 , $-   , $168.00 , $-   ," $1,189.00 ",108
106, $552.00 , $68.00 , $432.00 , $50.00 , $336.00 , $-   ," $1,438.00 ",111
107," $1,200.00 ", $102.00 , $792.00 , $-   , $364.00 , $50.00 ," $2,508.00 ",214
109, $528.00 , $-   , $342.00 , $-   , $336.00 , $50.00 ," $1,256.00 ",98
110, $736.00 , $17.00 , $360.00 , $-   , $448.00 , $-   ," $1,561.00 ",129
113, $880.00 , $-   , $468.00 , $25.00 , $476.00 , $-   ," $1,849.00 ",154
114, $552.00 , $34.00 , $288.00 , $-   , $140.00 , $200.00 ," $1,214.00 ",96
115, $432.00 , $34.00 , $396.00 , $-   , $196.00 , $-   ," $1,058.00 ",85
116, $888.00 , $51.00 , $828.00 , $50.00 , $420.00 , $100.00 ," $2,337.00 ",179
117, $136.00 , $-   , $72.00 , $-   , $-   , $-   , $208.00 ,21
118," $1,144.00 ", $68.00 , $648.00 , $-   , $420.00 , $-   ," $2,280.00 ",198
122, $984.00 , $68.00 , $918.00 , $-   , $476.00 , $100.00 ," $2,546.00 ",197
123," $1,088.00 ", $119.00 , $702.00 , $-   , $616.00 , $50.00 ," $2,575.00 ",205
124, $344.00 , $17.00 , $378.00 , $25.00 , $336.00 , $-   ," $1,100.00 ",78
125," $1,296.00 ", $68.00 , $720.00 , $25.00 , $336.00 , $50.00 ," $2,495.00 ",220
126, $784.00 , $17.00 , $432.00 , $-   , $280.00 , $-   ," $1,513.00 ",133
130, $320.00 , $17.00 , $72.00 , $-   , $84.00 , $50.00 , $543.00 ,49
131," $1,248.00 ", $34.00 , $558.00 , $25.00 , $364.00 , $-   ," $2,229.00 ",203
133, $488.00 , $51.00 , $180.00 , $-   , $196.00 , $-   , $915.00 ,81
134, $744.00 , $85.00 , $378.00 , $50.00 , $504.00 , $-   ," $1,761.00 ",139
135," $1,344.00 ", $51.00 , $540.00 , $-   , $196.00 , $-   ," $2,131.00 ",208
136," $1,792.00 ", $17.00 ," $1,458.00 ", $-   , $812.00 , $350.00 ," $4,429.00 ",342
137, $480.00 , $17.00 , $360.00 , $-   , $140.00 , $-   , $997.00 ,86
138, $816.00 , $51.00 , $558.00 , $-   , $252.00 , $-   ," $1,677.00 ",145
139, $504.00 , $34.00 , $198.00 , $-   , $196.00 , $-   , $932.00 ,83
142, $784.00 , $17.00 , $468.00 , $-   , $84.00 , $-   ," $1,353.00 ",128
143," $1,048.00 ", $102.00 , $630.00 , $-   , $336.00 , $200.00 ," $2,316.00 ",188
144, $624.00 , $17.00 , $486.00 , $-   , $140.00 , $-   ," $1,267.00 ",111
146, $440.00 , $17.00 , $252.00 , $-   , $56.00 , $-   , $765.00 ,72
151, $760.00 , $68.00 , $396.00 , $25.00 , $252.00 , $-   ," $1,501.00 ",131
154, $648.00 , $-   , $414.00 , $25.00 , $140.00 , $-   ," $1,227.00 ",110
155, $496.00 , $68.00 , $234.00 , $50.00 , $448.00 , $-   ," $1,296.00 ",97
156, $592.00 , $17.00 , $378.00 , $-   , $280.00 , $-   ," $1,267.00 ",106
158, $448.00 , $-   , $432.00 , $-   , $252.00 , $200.00 ," $1,332.00 ",93
160," $1,360.00 ", $51.00 , $648.00 , $50.00 , $532.00 , $-   ," $2,641.00 ",230
161, $456.00 , $17.00 , $306.00 , $-   , $84.00 , $-   , $863.00 ,78
